City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kapaa,US,79.0,light rain,22.0752,-159.319,Sheraton Kauai Resort at Coconut Beach
2,Adrar,MR,72.82,overcast clouds,20.5022,-10.0711,
3,San Jose Del Palmar,CO,78.8,scattered clouds,4.9742,-76.2283,
4,Sambava,MG,78.94,overcast clouds,-14.2667,50.1667,Melrose
5,Buta,CD,76.32,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
7,Benguela,AO,75.51,few clouds,-12.5763,13.4055,Hotel Praia Morena
21,Atuona,PF,78.93,light rain,-9.8,-139.0333,Villa Enata
31,Salalah,OM,71.6,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
35,Geraldton,AU,71.6,light rain,-28.7667,114.6,Broadwater Mariner Resort
37,Sinnamary,GF,77.61,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
40,Rikitea,PF,79.05,clear sky,-23.1203,-134.9692,Pension Maro'i
42,Sao Filipe,CV,73.35,scattered clouds,14.8961,-24.4956,Tortuga B&B
43,Barreirinhas,BR,75.76,moderate rain,-2.7469,-42.8264,Gran Lençóis Flat Residence
48,Cape Town,ZA,72.0,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
49,Pemangkat,ID,75.31,broken clouds,1.1667,108.9667,Kost H.Syamsuddin
51,Alyangula,AU,77.0,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
53,Carnarvon,AU,75.2,broken clouds,-24.8667,113.6333,Hospitality Carnarvon
54,Kahului,US,78.8,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
62,Cavalcante,BR,74.7,moderate rain,-13.7975,-47.4583,Pousada Vila dos Ipês
66,Nhulunbuy,AU,77.0,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
78,Castro,BR,74.07,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
81,Emerald,AU,75.2,clear sky,-23.5333,148.1667,The Irish Village
84,Hobyo,SO,77.41,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
93,Rawson,AR,76.93,clear sky,-43.3002,-65.1023,Hosteria Sampedro
94,Camiri,BO,78.8,broken clouds,-20.05,-63.5167,J R Hotel
101,Sebring,US,75.2,scattered clouds,27.4956,-81.4409,La Quinta Inn & Suites by Wyndham Sebring
102,Bandarbeyla,SO,75.06,few clouds,9.4942,50.8122,JABIR HOTEL
104,Dzilam Gonzalez,MX,76.32,broken clouds,21.2833,-88.9333,posadas
113,Riyadh,SA,71.6,clear sky,24.6877,46.7219,InterContinental Riyadh
123,Cabo San Lucas,MX,78.01,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
134,Quelimane,MZ,77.0,light rain,-17.8786,36.8883,Hotel Flamingo
143,Belo Jardim,BR,73.87,light rain,-8.3356,-36.4242,Hotel Florestal
144,Port Blair,IN,77.38,clear sky,11.6667,92.75,Welcomhotel Bay Island Port Blair
148,Bahia Honda,CU,79.59,light rain,22.9036,-83.1592,Casa Gualberto - Deysi
158,Hambantota,LK,75.04,clear sky,6.1241,81.1185,Bungalow 63
159,Chuy,UY,72.03,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
165,Samarai,PG,79.0,overcast clouds,-10.6167,150.6667,Nuli Sapi
171,Diamantino,BR,74.75,moderate rain,-14.4086,-56.4461,Hotel Delta
173,Mahebourg,MU,77.0,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
178,Coromandel,BR,74.21,few clouds,-18.4733,-47.2003,Hotel Dona Adélia
182,Yeppoon,AU,75.2,scattered clouds,-23.1333,150.7333,Villa Mar Colina
184,Charlestown,AU,73.0,broken clouds,-32.95,151.6667,Panorama Motor Inn Hotel
188,Omboue,GA,78.91,clear sky,-1.5746,9.2618,Hotel Olako
189,Bambous Virieux,MU,77.0,scattered clouds,-20.3428,57.7575,Casa Tia Villa
202,Am Timan,TD,79.74,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
204,Ixtapa,MX,73.4,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
205,Grand-Santi,GF,78.17,broken clouds,4.25,-54.3833,Hotel La Villa Couacou
