City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
0,Butaritari,KI,2021-02-17 05:18:34,3.0707,172.7902,81.68,82,0,18.12,clear sky,0,0
1,Broome,US,2021-02-17 05:18:34,42.2506,-75.833,15.8,73,75,17.27,broken clouds,0,0
2,Hermanus,ZA,2021-02-17 05:18:34,-34.4187,19.2345,62.69,80,1,5.93,clear sky,0,0
3,Punta Arenas,CL,2021-02-17 05:18:35,-53.15,-70.9167,46.4,81,0,10.36,clear sky,0,0
4,Agadir,MA,2021-02-17 05:18:35,30.4202,-9.5982,48.2,93,0,6.91,clear sky,0,0
5,Lluta,PE,2021-02-17 05:18:35,-16.0147,-72.0142,46.85,68,13,1.21,few clouds,0,0
6,Uruzgan,AF,2021-02-17 05:18:35,32.8333,66.0,49.95,36,0,5.64,clear sky,0,0
7,Madang,PG,2021-02-17 05:18:35,-5.2246,145.7966,80.15,83,100,7.58,overcast clouds,0,0
8,Evensk,RU,2021-02-17 05:18:35,61.95,159.2333,12.07,88,100,18.79,overcast clouds,0,0
9,Awjilah,LY,2021-02-17 05:18:36,29.1081,21.2869,43.97,61,14,8.19,few clouds,0,0
10,Saint-Joseph,RE,2021-02-17 05:18:36,-21.3667,55.6167,82.0,63,93,2.08,overcast clouds,0,0
11,Ushuaia,AR,2021-02-17 05:18:36,-54.8,-68.3,50.0,93,75,16.11,broken clouds,0,0
12,Aden,YE,2021-02-17 05:18:37,12.7794,45.0367,76.6,70,93,15.99,overcast clouds,0,0
13,Mao,ES,2021-02-17 05:18:37,39.8885,4.2658,44.6,93,0,4.61,clear sky,0,0
14,Bayir,TR,2021-02-17 05:18:37,37.2687,28.2167,33.8,40,0,12.66,clear sky,0,0
15,Bredasdorp,ZA,2021-02-17 05:18:37,-34.5322,20.0403,57.2,94,21,1.14,few clouds,0,0
16,Chokurdakh,RU,2021-02-17 05:18:37,70.6333,147.9167,-12.55,90,99,3.33,overcast clouds,0,0
17,Barrow,US,2021-02-17 05:18:37,71.2906,-156.7887,-16.6,69,1,9.22,clear sky,0,0
18,Pierre,US,2021-02-17 05:18:20,44.3683,-100.351,3.0,66,90,12.66,overcast clouds,0,0
19,Nyimba,ZM,2021-02-17 05:18:38,-14.5566,30.8149,70.77,92,100,2.06,overcast clouds,0,0
20,Saint-Philippe,RE,2021-02-17 05:18:38,-21.3585,55.7679,82.98,61,92,2.75,overcast clouds,0,0
21,Port Alfred,ZA,2021-02-17 05:18:38,-33.5906,26.891,65.25,72,3,18.25,clear sky,0,0
22,Upernavik,GL,2021-02-17 05:18:38,72.7868,-56.1549,-5.13,90,97,1.92,overcast clouds,0,0
23,Miyako,JP,2021-02-17 05:18:38,39.6367,141.9525,34.29,77,21,18.12,few clouds,0,0
24,Qaanaaq,GL,2021-02-17 05:18:39,77.484,-69.3632,-8.07,86,95,5.77,overcast clouds,0,0
25,Rikitea,PF,2021-02-17 05:18:39,-23.1203,-134.9692,78.78,76,27,14.14,light rain,0,0
26,Lagoa,PT,2021-02-17 05:18:39,39.05,-27.9833,58.26,75,83,27.42,broken clouds,0,0
27,Kodiak,US,2021-02-17 05:18:39,57.79,-152.4072,38.16,96,100,21.54,moderate rain,0,0
28,Fairbanks,US,2021-02-17 05:18:39,64.8378,-147.7164,10.99,85,90,2.39,light snow,0,0
29,Provideniya,RU,2021-02-17 05:18:40,64.3833,-173.3,-0.4,65,0,17.9,clear sky,0,0
30,Bo Phloi,TH,2021-02-17 05:18:40,14.3236,99.5161,91.99,39,15,9.44,few clouds,0,0
31,Talnakh,RU,2021-02-17 05:18:40,69.4865,88.3972,-14.75,87,100,1.9,overcast clouds,0,0
32,Dikson,RU,2021-02-17 05:18:40,73.5069,80.5464,-18.22,88,93,11.59,overcast clouds,0,0
33,Hithadhoo,MV,2021-02-17 05:18:41,-0.6,73.0833,81.75,70,99,1.83,overcast clouds,0,0
34,Touros,BR,2021-02-17 05:18:41,-5.1989,-35.4608,78.8,83,20,4.61,few clouds,0,0
35,Yellowknife,CA,2021-02-17 05:16:31,62.456,-114.3525,-20.99,76,75,5.75,broken clouds,0,0
36,Bluff,NZ,2021-02-17 05:18:41,-46.6,168.3333,62.01,61,1,8.99,clear sky,0,0
37,East London,ZA,2021-02-17 05:18:41,-33.0153,27.9116,62.6,77,20,3.44,few clouds,0,0
38,Busselton,AU,2021-02-17 05:18:41,-33.65,115.3333,82.99,54,0,5.99,clear sky,0,0
39,Worthington,US,2021-02-17 05:16:40,40.0931,-83.018,10.4,85,1,3.44,clear sky,0,0
40,Raudeberg,NO,2021-02-17 05:18:42,61.9875,5.1352,42.01,57,100,11.86,overcast clouds,0,0
41,Carnarvon,AU,2021-02-17 05:18:42,-24.8667,113.6333,82.4,89,6,19.57,clear sky,0,0
42,Kapaa,US,2021-02-17 05:18:42,22.0752,-159.319,74.61,78,58,2.73,moderate rain,0,0
43,Bloomingdale,US,2021-02-17 05:18:42,27.8936,-82.2404,60.01,77,90,4.54,overcast clouds,0,0
44,Port Blair,IN,2021-02-17 05:18:42,11.6667,92.75,84.2,70,20,6.91,haze,0,0
45,Norman Wells,CA,2021-02-17 05:18:43,65.282,-126.8329,-9.4,77,75,1.9,light snow,0,0
46,Nikolskoye,RU,2021-02-17 05:18:43,59.7035,30.7861,8.6,78,75,8.95,light snow,0,0
47,Areia Branca,BR,2021-02-17 05:18:43,-4.9561,-37.1369,77.63,80,100,2.06,overcast clouds,0,0
48,Youkounkoun,GN,2021-02-17 05:18:43,12.5333,-13.1333,68.27,69,81,4.45,broken clouds,0,0
49,Lakatoro,VU,2021-02-17 05:18:43,-16.0999,167.4164,84.52,72,61,7.11,broken clouds,0,0
50,Itarema,BR,2021-02-17 05:18:43,-2.9248,-39.9167,72.66,95,100,4.29,moderate rain,0,0
51,Lebu,CL,2021-02-17 05:18:44,-37.6167,-73.65,53.33,86,1,9.64,clear sky,0,0
52,Port Elizabeth,ZA,2021-02-17 05:18:44,-33.918,25.5701,63.59,75,0,13.91,clear sky,0,0
53,Pevek,RU,2021-02-17 05:18:44,69.7008,170.3133,-24.21,87,5,3.4,clear sky,0,0
54,Bandarbeyla,SO,2021-02-17 05:18:44,9.4942,50.8122,76.62,65,9,11.48,clear sky,0,0
55,Port Moresby,PG,2021-02-17 05:18:45,-9.4431,147.1797,87.8,70,40,12.66,haze,0,0
56,Hobart,AU,2021-02-17 05:15:02,-42.8794,147.3294,79.25,37,0,9.44,clear sky,0,0
57,Guerrero Negro,MX,2021-02-17 05:18:45,27.9769,-114.0611,58.75,74,75,17.69,broken clouds,0,0
58,New Norfolk,AU,2021-02-17 05:18:45,-42.7826,147.0587,83.79,26,0,5.55,clear sky,0,0
59,Nema,RU,2021-02-17 05:18:45,57.5067,50.5011,-10.7,89,78,6.8,broken clouds,0,0
60,Saint Anthony,US,2021-02-17 05:18:46,45.0205,-93.218,3.2,71,20,1.81,few clouds,0,0
61,Kargopol,RU,2021-02-17 05:18:46,61.5071,38.9456,-14.91,88,99,6.2,overcast clouds,0,0
62,Sisimiut,GL,2021-02-17 05:18:46,66.9395,-53.6735,1.09,85,15,8.5,few clouds,0,0
63,Isangel,VU,2021-02-17 05:18:46,-19.55,169.2667,86.31,68,90,2.89,overcast clouds,0,0
64,Pisco,PE,2021-02-17 05:14:22,-13.7,-76.2167,71.6,78,0,4.61,clear sky,0,0
65,Ponta Do Sol,PT,2021-02-17 05:18:46,32.6667,-17.1,63.0,25,100,7.0,overcast clouds,0,0
66,Northam,GB,2021-02-17 05:18:47,51.0333,-4.2167,48.85,88,96,22.44,overcast clouds,0,0
67,Gornopravdinsk,RU,2021-02-17 05:18:47,60.05,69.9,-14.55,88,93,3.33,overcast clouds,0,0
68,Cabo San Lucas,MX,2021-02-17 05:18:47,22.8909,-109.9124,62.13,80,5,12.41,clear sky,0,0
69,Hofn,IS,2021-02-17 05:18:47,64.2539,-15.2082,41.49,75,100,14.58,overcast clouds,0,0
70,Itororo,BR,2021-02-17 05:18:47,-15.1169,-40.0703,71.94,92,100,2.59,overcast clouds,0,0
71,Guozhen,CN,2021-02-17 05:18:48,34.3659,107.359,57.11,29,99,2.17,overcast clouds,0,0
72,Coquimbo,CL,2021-02-17 05:18:48,-29.9533,-71.3436,59.09,85,2,2.17,clear sky,0,0
73,Arraial Do Cabo,BR,2021-02-17 05:18:48,-22.9661,-42.0278,75.15,86,0,4.97,clear sky,0,0
74,Khatanga,RU,2021-02-17 05:18:48,71.9667,102.5,-19.46,82,100,11.52,overcast clouds,0,0
75,Abrau-Dyurso,RU,2021-02-17 05:18:48,44.69,37.59,17.6,79,40,20.13,scattered clouds,0,0
76,Naifaru,MV,2021-02-17 05:18:49,5.4444,73.3657,81.64,69,96,7.49,overcast clouds,0,0
77,Hilo,US,2021-02-17 05:18:49,19.7297,-155.09,73.4,78,75,7.18,broken clouds,0,0
78,Padang,ID,2021-02-17 05:18:49,-0.9492,100.3543,87.8,55,20,6.91,few clouds,0,0
79,Lata,PT,2021-02-17 05:18:49,40.1629,-8.3327,55.0,94,98,4.14,overcast clouds,0,0
80,Luderitz,NA,2021-02-17 05:18:49,-26.6481,15.1594,63.18,71,0,6.06,clear sky,0,0
81,Ancud,CL,2021-02-17 05:18:50,-41.8697,-73.8203,51.03,87,1,3.13,clear sky,0,0
82,Pangnirtung,CA,2021-02-17 05:18:50,66.1451,-65.7125,-21.98,78,47,2.51,scattered clouds,0,0
83,Petropavlovsk-Kamchatskiy,RU,2021-02-17 05:17:45,53.0452,158.6483,32.0,64,40,24.61,snow,0,0
84,Klaksvik,FO,2021-02-17 05:18:50,62.2266,-6.589,44.6,93,90,21.85,overcast clouds,0,0
85,Castro,BR,2021-02-17 05:18:50,-24.7911,-50.0119,61.23,91,88,4.61,overcast clouds,0,0
86,Aransas Pass,US,2021-02-17 05:18:51,27.9095,-97.15,37.4,75,90,20.71,light rain,0,0
87,Champerico,GT,2021-02-17 05:18:51,14.3,-91.9167,69.01,91,27,6.85,scattered clouds,0,0
88,Stange,NO,2021-02-17 05:18:51,60.718,11.1942,24.01,93,90,8.05,light snow,0,0
89,Cradock,ZA,2021-02-17 05:18:51,-32.1642,25.6192,55.83,69,1,4.88,clear sky,0,0
90,Vaini,TO,2021-02-17 05:18:51,-21.2,-175.2,80.31,78,89,12.91,overcast clouds,0,0
91,Verkhovazhye,RU,2021-02-17 05:18:52,60.7472,42.0465,-8.66,90,97,4.5,overcast clouds,0,0
92,Mahebourg,MU,2021-02-17 05:18:52,-20.4081,57.7,82.4,83,40,6.91,scattered clouds,0,0
93,Albany,US,2021-02-17 05:18:52,42.6001,-73.9662,15.12,93,34,8.3,scattered clouds,0,0
94,The Valley,AI,2021-02-17 05:18:52,18.217,-63.0578,77.0,83,20,12.66,few clouds,0,0
95,Trairi,BR,2021-02-17 05:18:52,-3.2778,-39.2689,72.66,95,100,4.27,moderate rain,0,0
96,Ulaangom,MN,2021-02-17 05:18:53,49.9811,92.0667,1.54,90,18,3.11,few clouds,0,0
97,Aklavik,CA,2021-02-17 05:18:53,68.2191,-135.0107,-22.0,76,100,3.44,overcast clouds,0,0
98,Arawa,PG,2021-02-17 05:18:53,-6.2132,155.5367,83.62,76,96,6.11,light rain,0,0
99,Tiksi,RU,2021-02-17 05:18:53,71.6872,128.8694,-22.05,83,57,0.67,broken clouds,0,0
100,Morondava,MG,2021-02-17 05:18:53,-20.2833,44.2833,81.21,82,100,20.54,light rain,0,0
101,Tasiilaq,GL,2021-02-17 05:18:54,65.6145,-37.6368,30.2,93,75,13.8,snow,0,0
102,Taoudenni,ML,2021-02-17 05:18:54,22.6783,-3.9836,64.0,26,94,19.39,overcast clouds,0,0
103,Canutama,BR,2021-02-17 05:18:54,-6.5339,-64.3831,74.14,96,100,2.26,overcast clouds,0,0
104,Ozinki,RU,2021-02-17 05:18:54,51.1786,49.6769,-6.61,87,100,5.97,overcast clouds,0,0
105,Andra,RU,2021-02-17 05:18:54,62.5147,65.8878,-21.64,86,48,3.42,scattered clouds,0,0
106,Obo,CF,2021-02-17 05:18:55,5.3998,26.4869,67.64,59,31,3.09,scattered clouds,0,0
107,Debre Tabor,ET,2021-02-17 05:17:18,11.85,38.0167,57.67,59,71,2.71,broken clouds,0,0
108,Kutum,SD,2021-02-17 05:18:55,14.2,24.6667,47.01,54,0,22.84,clear sky,0,0
109,Belaya Gora,RU,2021-02-17 05:18:55,68.5333,146.4167,-15.18,88,100,3.15,overcast clouds,0,0
110,Mount Gambier,AU,2021-02-17 05:18:55,-37.8333,140.7667,96.8,16,40,5.75,scattered clouds,0,0
111,Rio Gallegos,AR,2021-02-17 05:18:56,-51.6226,-69.2181,55.44,58,40,10.83,scattered clouds,0,0
112,Fort Nelson,CA,2021-02-17 05:18:56,58.8053,-122.7002,-5.8,77,1,2.3,clear sky,0,0
113,Mitsamiouli,KM,2021-02-17 05:18:56,-11.3847,43.2844,78.8,73,20,3.44,few clouds,0,0
114,Atuona,PF,2021-02-17 05:18:56,-9.8,-139.0333,79.12,78,4,14.18,clear sky,0,0
115,Pacific Grove,US,2021-02-17 05:17:32,36.6177,-121.9166,53.6,71,1,4.61,clear sky,0,0
116,Goderich,CA,2021-02-17 05:18:56,43.7501,-81.7165,19.4,68,100,13.8,overcast clouds,0,0
117,Karratha,AU,2021-02-17 05:18:57,-20.7377,116.8463,88.83,58,80,13.67,broken clouds,0,0
118,Kholtoson,RU,2021-02-17 05:18:57,50.2981,103.3097,28.2,90,13,4.14,few clouds,0,0
119,Puerto Ayora,EC,2021-02-17 05:18:57,-0.7393,-90.3518,75.99,96,76,7.0,heavy intensity rain,0,0
120,Ylojarvi,FI,2021-02-17 05:18:57,61.5563,23.5961,-1.25,93,0,4.18,clear sky,0,0
121,Griffith,US,2021-02-17 05:18:57,41.5284,-87.4237,15.8,79,90,4.61,overcast clouds,0,0
122,Nangomba,TZ,2021-02-17 05:18:58,-10.9,38.5,75.6,84,100,9.22,overcast clouds,0,0
123,Belmonte,BR,2021-02-17 05:18:58,-15.8631,-38.8828,77.0,83,40,9.22,scattered clouds,0,0
124,Haines Junction,CA,2021-02-17 05:18:58,60.7522,-137.5108,6.6,90,99,0.22,overcast clouds,0,0
125,Minsk,BY,2021-02-17 05:16:31,53.9,27.5667,7.47,95,78,6.15,broken clouds,0,0
126,Mataura,NZ,2021-02-17 05:18:59,-46.1927,168.8643,63.9,42,0,6.08,clear sky,0,0
127,Gayeri,BF,2021-02-17 05:18:59,12.6497,0.4931,74.07,17,14,12.26,few clouds,0,0
128,Kulu,TR,2021-02-17 05:18:59,39.0951,33.0799,13.05,90,100,9.51,overcast clouds,0,0
129,Georgetown,MY,2021-02-17 05:15:04,5.4112,100.3354,84.16,63,2,1.92,clear sky,0,0
130,Kavaratti,IN,2021-02-17 05:18:59,10.5669,72.642,81.46,68,68,9.37,broken clouds,0,0
131,Chuy,UY,2021-02-17 05:19:00,-33.6971,-53.4616,63.68,96,5,7.58,clear sky,0,0
132,Cape Town,ZA,2021-02-17 05:19:00,-33.9258,18.4232,65.34,70,0,1.45,clear sky,0,0
133,Bamiantong,CN,2021-02-17 05:19:00,44.9333,130.5333,9.07,90,100,13.33,overcast clouds,0,0
134,Kaitangata,NZ,2021-02-17 05:19:01,-46.2817,169.8464,57.11,61,0,6.55,clear sky,0,0
135,Kavieng,PG,2021-02-17 05:19:01,-2.5744,150.7967,84.52,69,47,11.34,scattered clouds,0,0
136,Faya,SA,2021-02-17 05:19:01,18.3851,42.4509,62.15,36,1,4.99,clear sky,0,0
137,Tete,MZ,2021-02-17 05:19:02,-16.1564,33.5867,77.0,100,75,1.45,broken clouds,0,0
138,Shingu,JP,2021-02-17 05:19:02,33.7333,135.9833,39.2,56,75,24.16,broken clouds,0,0
139,Inhambane,MZ,2021-02-17 05:19:02,-23.865,35.3833,80.6,89,75,9.22,moderate rain,0,0
140,Kloulklubed,PW,2021-02-17 05:19:03,7.0419,134.2556,82.4,89,90,10.36,overcast clouds,0,0
141,Jiwani,PK,2021-02-17 05:19:03,25.05,61.7417,72.86,52,0,6.2,clear sky,0,0
142,Alice Springs,AU,2021-02-17 05:19:03,-23.7,133.8833,100.4,22,0,16.11,clear sky,0,0
143,Dali,CN,2021-02-17 05:19:03,25.7,100.1833,62.69,29,0,5.28,clear sky,0,0
144,Jamestown,US,2021-02-17 05:19:04,42.097,-79.2353,6.93,93,98,7.54,overcast clouds,0,0
145,Fortuna,US,2021-02-17 05:19:04,40.5982,-124.1573,46.99,93,75,9.22,broken clouds,0,0
146,Shihezi,CN,2021-02-17 05:19:04,44.3,86.0333,21.06,93,0,3.4,clear sky,0,0
147,North Las Vegas,US,2021-02-17 05:14:59,36.1989,-115.1175,57.2,19,1,5.75,clear sky,0,0
148,Medea,DZ,2021-02-17 05:19:04,36.2642,2.7539,43.25,60,62,5.77,broken clouds,0,0
149,Airai,TL,2021-02-17 05:19:04,-8.9266,125.4092,73.99,68,100,5.68,overcast clouds,0,0
150,Kaeo,NZ,2021-02-17 05:19:05,-35.1,173.7833,71.01,68,23,13.0,few clouds,0,0
151,Pali,IN,2021-02-17 05:19:05,25.7667,73.3333,80.47,21,0,7.23,clear sky,0,0
152,Mount Isa,AU,2021-02-17 05:19:05,-20.7333,139.5,87.8,48,75,16.11,broken clouds,0,0
153,Bethel,US,2021-02-17 05:19:05,41.3712,-73.414,35.6,55,1,11.5,clear sky,0,0
154,Ransang,PH,2021-02-17 05:19:05,8.9603,117.5828,82.58,72,39,10.83,scattered clouds,0,0
155,Esperance,AU,2021-02-17 05:19:06,-33.8667,121.9,84.2,61,40,14.97,scattered clouds,0,0
156,Fuling,CN,2021-02-17 05:19:06,29.7022,107.3919,63.61,52,100,1.9,overcast clouds,0,0
157,Arroio Grande,BR,2021-02-17 05:16:03,-32.2375,-53.0869,63.93,85,0,8.43,clear sky,0,0
158,Saint-Ambroise,CA,2021-02-17 05:19:06,48.5501,-71.3324,19.0,93,100,2.3,light snow,0,0
159,Sumbe,AO,2021-02-17 05:19:06,-11.2061,13.8437,76.86,79,99,3.83,overcast clouds,0,0
160,Dingle,PH,2021-02-17 05:19:07,10.9995,122.6711,83.84,70,97,13.06,overcast clouds,0,0
161,Merritt,CA,2021-02-17 05:15:04,50.1123,-120.7942,32.0,100,90,2.3,light rain,0,0
162,Ossora,RU,2021-02-17 05:19:07,59.2353,163.0719,17.31,96,100,9.86,light snow,0,0
163,Kushima,JP,2021-02-17 05:19:07,31.4583,131.2333,45.99,58,54,21.07,broken clouds,0,0
164,Hailakandi,IN,2021-02-17 05:19:07,24.6833,92.5667,85.46,22,0,3.74,clear sky,0,0
165,Katsuura,JP,2021-02-17 05:19:07,35.1333,140.3,55.0,24,11,15.01,few clouds,0,0
166,Korla,CN,2021-02-17 05:19:08,41.7597,86.1469,42.69,54,24,4.12,few clouds,0,0
167,Kawalu,ID,2021-02-17 05:19:08,-7.3817,108.2082,82.11,73,97,5.3,overcast clouds,0,0
168,Leningradskiy,RU,2021-02-17 05:19:08,69.3833,178.4167,-20.85,86,54,4.27,broken clouds,0,0
169,Hobyo,SO,2021-02-17 05:19:08,5.3505,48.5268,79.23,72,75,14.74,broken clouds,0,0
170,Scarborough,GB,2021-02-17 05:19:08,54.2797,-0.4044,41.0,90,55,4.0,broken clouds,0,0
171,Sibu,MY,2021-02-17 05:19:08,2.3,111.8167,87.01,74,40,1.14,scattered clouds,0,0
172,Tual,ID,2021-02-17 05:19:09,-5.6667,132.75,82.92,79,94,19.64,overcast clouds,0,0
173,Manama,BH,2021-02-17 05:18:48,26.2154,50.5832,67.95,65,40,14.34,scattered clouds,0,0
174,Byron Bay,AU,2021-02-17 05:19:09,-28.65,153.6167,75.2,69,75,21.85,light rain,0,0
175,Thompson,CA,2021-02-17 05:15:54,55.7435,-97.8558,-16.6,83,1,2.3,clear sky,0,0
176,Lorengau,PG,2021-02-17 05:19:09,-2.0226,147.2712,83.62,76,97,9.42,overcast clouds,0,0
177,Acajutla,SV,2021-02-17 05:19:09,13.5928,-89.8275,77.13,73,57,5.23,broken clouds,0,0
178,Hami,CN,2021-02-17 05:19:10,42.8,93.45,45.95,46,0,3.53,clear sky,0,0
179,Tuktoyaktuk,CA,2021-02-17 05:19:10,69.4541,-133.0374,-29.2,75,40,6.91,scattered clouds,0,0
180,Aksu,CN,2021-02-17 05:19:10,41.1231,80.2644,44.31,52,0,0.47,clear sky,0,0
181,Severo-Kurilsk,RU,2021-02-17 05:19:10,50.6789,156.125,30.63,90,43,17.92,scattered clouds,0,0
182,Skibbereen,IE,2021-02-17 05:19:11,51.55,-9.2667,45.54,71,56,18.86,broken clouds,0,0
183,Henties Bay,NA,2021-02-17 05:19:11,-22.116,14.2845,61.0,89,0,2.89,clear sky,0,0
184,Aksarka,RU,2021-02-17 05:19:11,66.5606,67.7975,-15.27,89,100,4.25,overcast clouds,0,0
185,Kamenka,RU,2021-02-17 05:19:11,51.3223,42.7678,-2.34,92,85,6.02,overcast clouds,0,0
186,Kruisfontein,ZA,2021-02-17 05:19:11,-34.0033,24.7314,57.0,93,0,1.01,clear sky,0,0
187,Mar Del Plata,AR,2021-02-17 05:19:11,-38.0023,-57.5575,65.39,90,100,8.97,overcast clouds,0,0
188,Clyde River,CA,2021-02-17 05:19:12,70.4692,-68.5914,-20.2,76,24,3.44,few clouds,0,0
189,Kibala,TD,2021-02-17 05:19:12,9.1104,18.3463,66.33,26,31,5.93,scattered clouds,0,0
190,Pokhara,NP,2021-02-17 05:15:02,28.2333,83.9833,71.37,24,99,4.94,overcast clouds,0,0
191,Olafsvik,IS,2021-02-17 05:19:12,64.8945,-23.7142,39.63,75,100,7.47,overcast clouds,0,0
192,Tecoanapa,MX,2021-02-17 05:19:13,16.5167,-98.75,70.25,79,54,4.45,broken clouds,0,0
193,Saskylakh,RU,2021-02-17 05:19:13,71.9167,114.0833,-20.97,84,100,14.85,overcast clouds,0,0
194,Sayansk,RU,2021-02-17 05:19:13,54.1088,102.1648,15.17,96,95,7.38,overcast clouds,0,0
195,Karasuk,RU,2021-02-17 05:19:13,53.7377,78.0403,3.22,94,100,8.86,overcast clouds,0,0
196,Atbasar,KZ,2021-02-17 05:17:05,51.8,68.3333,0.93,90,97,3.69,snow,0,0
197,Namibe,AO,2021-02-17 05:19:13,-15.1961,12.1522,71.78,78,0,3.76,clear sky,0,0
198,Vila Franca Do Campo,PT,2021-02-17 05:19:14,37.7167,-25.4333,55.81,77,85,15.01,overcast clouds,0,0
199,Saldanha,ZA,2021-02-17 05:19:14,-33.0117,17.9442,55.4,76,0,1.14,clear sky,0,0
200,Port Stanley,FK,2021-02-17 05:19:14,-51.7,-57.85,48.52,78,32,11.59,scattered clouds,0,0
201,Champasak,LA,2021-02-17 05:19:14,14.75,106.0,87.8,35,0,6.91,clear sky,0,0
202,Caravelas,BR,2021-02-17 05:19:14,-17.7125,-39.2481,78.51,83,100,10.04,overcast clouds,0,0
203,Kabinda,CD,2021-02-17 05:19:14,-6.1333,24.4833,67.89,96,100,3.13,overcast clouds,0,0
204,Corinto,GR,2021-02-17 05:19:15,37.9407,22.9573,33.98,78,0,0.94,clear sky,0,0
205,Najran,SA,2021-02-17 05:19:15,17.4924,44.1277,62.6,36,0,1.72,clear sky,0,0
206,Berlevag,NO,2021-02-17 05:19:15,70.8578,29.0864,19.4,79,0,20.71,clear sky,0,0
207,Salalah,OM,2021-02-17 05:19:15,17.0151,54.0924,74.39,46,80,1.19,broken clouds,0,0
208,Yulara,AU,2021-02-17 05:19:15,-25.2406,130.9889,100.4,14,71,17.27,broken clouds,0,0
