City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Ushuaia,-54.8,-68.3,53.6,66,75,5.75,AR,2021-02-11 22:56:47,moderate rain
1,Carnarvon,-24.8667,113.6333,71.6,88,96,14.97,AU,2021-02-11 22:57:32,overcast clouds
2,Arraial Do Cabo,-22.9661,-42.0278,75.2,94,75,8.05,BR,2021-02-11 23:01:06,broken clouds
3,Mataura,-46.1927,168.8643,57.99,74,1,8.01,NZ,2021-02-11 23:01:06,clear sky
4,Dikson,73.5069,80.5464,-15.02,89,100,3.85,RU,2021-02-11 23:01:07,overcast clouds
5,Cape Town,-33.9258,18.4232,72.0,94,0,12.66,ZA,2021-02-11 23:01:07,clear sky
6,Constitucion,-35.3333,-72.4167,62.33,83,55,6.87,CL,2021-02-11 23:00:26,broken clouds
7,Buraydah,26.326,43.975,55.4,94,0,4.61,SA,2021-02-11 23:00:45,clear sky
8,Dire Dawa,9.5931,41.8661,63.46,44,41,2.04,ET,2021-02-11 23:01:07,scattered clouds
9,Bethel,41.3712,-73.414,26.6,50,1,12.66,US,2021-02-11 23:01:08,clear sky
10,Kodiak,57.79,-152.4072,37.4,87,90,37.98,US,2021-02-11 23:01:08,mist
11,Anamur,36.0751,32.8369,57.2,88,75,3.44,TR,2021-02-11 23:01:08,broken clouds
12,Athens,37.9795,23.7162,57.99,58,20,8.05,GR,2021-02-11 22:59:00,few clouds
13,Hay River,60.8156,-115.7999,-4.0,71,78,17.27,CA,2021-02-11 23:01:08,broken clouds
14,Ishigaki,24.3448,124.1572,68.0,94,75,18.41,JP,2021-02-11 23:00:05,broken clouds
15,Meulaboh,4.1363,96.1285,77.04,87,45,4.81,ID,2021-02-11 23:00:24,scattered clouds
16,Olga,43.7444,135.2892,22.05,92,89,4.99,RU,2021-02-11 23:01:09,overcast clouds
17,Mar Del Plata,-38.0023,-57.5575,71.01,94,75,19.57,AR,2021-02-11 23:01:09,light rain
18,Leningradskiy,69.3833,178.4167,-15.88,87,100,11.21,RU,2021-02-11 23:01:09,overcast clouds
19,Ramona,33.0417,-116.8681,71.6,40,1,6.91,US,2021-02-11 23:01:09,clear sky
20,Qaanaaq,77.484,-69.3632,9.7,68,0,9.24,GL,2021-02-11 23:00:00,clear sky
21,Isiro,2.7739,27.616,69.1,43,88,1.61,CD,2021-02-11 23:01:10,overcast clouds
22,Busselton,-33.65,115.3333,50.0,97,0,9.35,AU,2021-02-11 22:59:53,clear sky
23,Isangel,-19.55,169.2667,84.2,74,40,3.44,VU,2021-02-11 23:01:08,scattered clouds
24,Acari,-15.4311,-74.6158,77.54,56,23,7.0,PE,2021-02-11 23:01:10,few clouds
25,Jamestown,42.097,-79.2353,19.4,68,1,9.22,US,2021-02-11 23:01:11,clear sky
26,Punta Arenas,-53.15,-70.9167,55.4,47,0,31.07,CL,2021-02-11 22:56:45,clear sky
27,Florestopolis,-22.8633,-51.3872,73.4,78,20,5.75,BR,2021-02-11 23:01:11,few clouds
28,Pacific Grove,36.6177,-121.9166,57.2,58,1,3.74,US,2021-02-11 23:01:11,clear sky
29,Cap Malheureux,-19.9842,57.6142,78.01,74,97,3.0,MU,2021-02-11 23:01:12,overcast clouds
30,Nhulunbuy,-12.2333,136.7667,80.6,89,40,8.05,AU,2021-02-11 23:01:12,scattered clouds
31,Pipar,26.3856,73.5378,65.14,26,100,8.46,IN,2021-02-11 23:01:12,overcast clouds
32,Flin Flon,54.7682,-101.865,-18.4,63,75,9.22,CA,2021-02-11 22:58:42,snow
33,Olafsvik,64.8945,-23.7142,38.28,76,100,16.13,IS,2021-02-11 22:57:10,overcast clouds
34,Segovia,41.1667,-4.0,51.01,94,100,1.99,ES,2021-02-11 23:01:12,overcast clouds
35,Longkou,37.6508,120.3286,40.05,76,89,12.59,CN,2021-02-11 23:01:13,overcast clouds
36,Port Alfred,-33.5906,26.891,70.0,95,77,1.01,ZA,2021-02-11 22:59:49,broken clouds
37,Sinnai,39.3042,9.2036,53.01,87,0,11.5,IT,2021-02-11 23:01:13,clear sky
38,Inhambane,-23.865,35.3833,79.29,85,56,12.44,MZ,2021-02-11 23:01:13,light rain
39,Butaritari,3.0707,172.7902,81.88,77,70,14.97,KI,2021-02-11 23:01:13,broken clouds
40,Bluff,-46.6,168.3333,57.99,74,42,8.01,NZ,2021-02-11 23:00:43,scattered clouds
41,Ust-Kalmanka,52.1207,83.305,-20.27,87,85,3.02,RU,2021-02-11 23:01:14,overcast clouds
42,Mayo,38.8876,-76.5119,34.0,80,90,6.91,US,2021-02-11 22:59:56,mist
43,Hermanus,-34.4187,19.2345,72.0,88,21,1.01,ZA,2021-02-11 22:56:17,few clouds
44,Rikitea,-23.1203,-134.9692,79.18,70,76,7.47,PF,2021-02-11 22:59:47,broken clouds
45,Maldonado,-34.6667,-54.9167,69.8,94,90,16.11,UY,2021-02-11 23:01:15,overcast clouds
46,Saint-Philippe,-21.3585,55.7679,78.8,61,99,4.61,RE,2021-02-11 23:01:15,overcast clouds
47,Thompson,55.7435,-97.8558,-20.2,69,75,4.61,CA,2021-02-11 23:01:15,broken clouds
48,Bandarbeyla,9.4942,50.8122,73.17,74,88,13.11,SO,2021-02-11 23:01:15,overcast clouds
49,Bilibino,68.0546,166.4372,-18.9,73,0,4.63,RU,2021-02-11 23:01:16,clear sky
50,Baiyin,36.5583,104.2081,32.0,42,0,6.71,CN,2021-02-11 23:01:16,clear sky
51,Tolaga Bay,-38.3667,178.3,66.49,70,56,11.72,NZ,2021-02-11 23:01:16,broken clouds
52,Severo-Kurilsk,50.6789,156.125,29.26,92,100,2.15,RU,2021-02-11 23:01:16,overcast clouds
53,Bow Island,49.8668,-111.3684,-13.0,53,100,8.05,CA,2021-02-11 23:01:16,overcast clouds
54,Nikolskoye,59.7035,30.7861,5.0,85,75,6.71,RU,2021-02-11 22:59:48,light snow
55,Chuy,-33.6971,-53.4616,70.7,88,100,13.35,UY,2021-02-11 23:01:17,moderate rain
56,Bathsheba,13.2167,-59.5167,78.8,61,20,18.41,BB,2021-02-11 23:01:17,few clouds
57,Taltal,-25.4,-70.4833,69.49,64,0,5.17,CL,2021-02-11 23:01:17,clear sky
58,Torbay,47.6666,-52.7314,23.0,93,90,36.82,CA,2021-02-11 23:01:17,snow
59,Khorramshahr,30.4397,48.1664,60.8,67,0,4.61,IR,2021-02-11 23:01:18,clear sky
60,Takoradi,4.8845,-1.7554,80.65,85,41,11.39,GH,2021-02-11 23:01:18,scattered clouds
61,Hilo,19.7297,-155.09,73.4,73,75,9.22,US,2021-02-11 22:59:54,light rain
62,Bakau,13.4781,-16.6819,77.0,44,21,6.91,GM,2021-02-11 23:01:18,few clouds
63,Kaitangata,-46.2817,169.8464,60.01,58,6,8.01,NZ,2021-02-11 23:01:19,clear sky
64,Talnakh,69.4865,88.3972,-14.58,88,97,2.3,RU,2021-02-11 23:01:19,overcast clouds
65,Raahe,64.6833,24.4833,10.4,85,90,2.3,FI,2021-02-11 22:59:08,mist
66,Saskylakh,71.9167,114.0833,-12.64,86,100,3.58,RU,2021-02-11 23:01:19,overcast clouds
67,Nouadhibou,20.931,-17.0347,68.0,60,0,19.57,MR,2021-02-11 23:01:11,clear sky
68,Tuktoyaktuk,69.4541,-133.0374,-7.6,77,40,16.11,CA,2021-02-11 23:00:42,scattered clouds
69,Quatre Cocos,-20.2078,57.7625,78.8,78,75,8.05,MU,2021-02-11 23:01:20,broken clouds
70,Lujan,-34.5703,-59.105,68.0,96,81,1.01,AR,2021-02-11 23:01:20,broken clouds
71,Mahebourg,-20.4081,57.7,78.8,78,75,8.05,MU,2021-02-11 23:00:51,broken clouds
72,Morehead,37.2711,-87.1764,28.4,86,90,3.44,US,2021-02-11 23:01:20,mist
73,Polunochnoye,60.8697,60.4153,-20.4,88,55,0.45,RU,2021-02-11 23:01:20,broken clouds
74,Pemba,-12.974,40.5178,78.82,77,100,15.55,MZ,2021-02-11 23:01:21,overcast clouds
75,Kayseri,38.737,35.4968,32.0,80,39,3.44,TR,2021-02-11 23:01:21,scattered clouds
76,Fuxin,42.0156,121.6589,32.14,95,40,1.14,CN,2021-02-11 23:01:21,scattered clouds
77,Lebu,-37.6167,-73.65,61.63,85,25,13.65,CL,2021-02-11 22:59:59,scattered clouds
78,Beringovskiy,63.05,179.3167,-22.27,84,58,17.87,RU,2021-02-11 23:01:21,broken clouds
79,Sembakung,3.8167,117.25,75.2,100,40,1.92,ID,2021-02-11 23:01:22,scattered clouds
80,Vung Tau,10.346,107.0843,73.18,84,42,13.02,VN,2021-02-11 23:01:22,scattered clouds
81,Tierralta,8.1736,-76.0592,84.2,67,81,6.02,CO,2021-02-11 23:01:22,broken clouds
82,Okhotsk,59.3833,143.3,13.96,88,100,5.68,RU,2021-02-11 23:01:22,overcast clouds
83,Novopavlovsk,43.9622,43.6342,42.01,75,6,6.04,RU,2021-02-11 23:01:23,clear sky
84,Dakar,14.6937,-17.4441,66.2,82,25,6.91,SN,2021-02-11 23:00:06,scattered clouds
85,Castro,-24.7911,-50.0119,61.63,94,93,4.9,BR,2021-02-11 23:00:56,overcast clouds
86,Pocsaj,47.2833,21.8167,19.4,79,90,12.66,HU,2021-02-11 23:01:23,light snow
87,Lata,40.1629,-8.3327,57.99,92,98,1.99,PT,2021-02-11 23:01:23,overcast clouds
88,Trapani,37.8333,12.6667,60.01,88,40,6.91,IT,2021-02-11 23:01:24,scattered clouds
89,Kigoma,-4.8769,29.6267,73.63,75,100,2.75,TZ,2021-02-11 23:01:24,overcast clouds
90,Sao Paulo De Olivenca,-3.3783,-68.8725,80.87,79,80,1.63,BR,2021-02-11 23:01:24,broken clouds
91,Aldan,58.6031,125.3894,-5.08,92,100,4.09,RU,2021-02-11 23:01:24,light snow
92,Finschhafen,-6.6024,147.8681,83.5,74,100,5.19,PG,2021-02-11 23:01:24,moderate rain
93,Turayf,31.6725,38.6637,46.4,81,0,4.61,SA,2021-02-11 23:01:25,clear sky
94,Ribeira Grande,38.5167,-28.7,61.56,79,99,36.22,PT,2021-02-11 23:01:25,overcast clouds
95,Praia,14.9215,-23.5087,69.8,73,0,13.8,CV,2021-02-11 23:01:25,clear sky
96,Muros,42.7762,-9.0603,55.99,92,100,14.0,ES,2021-02-11 23:01:25,overcast clouds
97,Nioro,13.35,-15.75,79.65,16,47,9.06,GM,2021-02-11 23:01:25,scattered clouds
98,Ilulissat,69.2167,-51.1,10.4,67,75,17.27,GL,2021-02-11 23:01:26,broken clouds
99,Sao Filipe,14.8961,-24.4956,72.21,67,1,9.86,CV,2021-02-11 23:01:26,clear sky
100,Abay,49.6311,72.8539,8.6,78,75,4.47,KZ,2021-02-11 22:59:21,light snow
101,Paciran,-6.8767,112.3761,76.98,88,100,7.0,ID,2021-02-11 23:01:26,overcast clouds
102,Vaini,-21.2,-175.2,84.2,84,75,9.22,TO,2021-02-11 23:01:26,broken clouds
103,Chokurdakh,70.6333,147.9167,-19.89,79,56,3.85,RU,2021-02-11 23:01:26,broken clouds
104,Waipawa,-41.4122,175.5153,64.4,88,75,12.66,NZ,2021-02-11 22:58:51,broken clouds
105,Alice Springs,-23.7,133.8833,87.01,58,75,5.75,AU,2021-02-11 23:01:24,broken clouds
106,Zunyi,27.6867,106.9072,45.19,86,71,0.89,CN,2021-02-11 23:01:27,broken clouds
107,Bredasdorp,-34.5322,20.0403,71.6,83,83,6.91,ZA,2021-02-11 23:01:27,broken clouds
108,Albany,42.6001,-73.9662,24.8,46,75,14.97,US,2021-02-11 22:59:08,broken clouds
109,Comodoro Rivadavia,-45.8667,-67.5,89.6,23,0,16.11,AR,2021-02-11 22:58:58,clear sky
110,Los Llanos De Aridane,28.6585,-17.9182,62.6,72,0,4.61,ES,2021-02-11 23:01:27,clear sky
111,Beyneu,45.3167,55.2,36.05,81,1,11.72,KZ,2021-02-11 23:01:27,clear sky
112,Trinidad,-14.8333,-64.9,77.0,83,75,9.22,BO,2021-02-11 23:01:28,broken clouds
113,Alofi,-19.0595,-169.9187,86.0,70,75,12.66,NU,2021-02-11 23:01:28,broken clouds
114,Katsuura,35.1333,140.3,44.01,56,0,9.22,JP,2021-02-11 23:00:27,clear sky
115,Yaan,7.3833,8.5667,81.25,14,30,5.12,NG,2021-02-11 23:01:28,scattered clouds
116,New Norfolk,-42.7826,147.0587,68.0,63,13,8.01,AU,2021-02-11 23:01:28,few clouds
117,Nizhniy Kuranakh,58.8353,125.4869,-2.27,91,100,3.04,RU,2021-02-11 23:01:29,light snow
118,Biak,-0.9131,122.8766,79.09,76,97,1.59,ID,2021-02-11 23:01:29,overcast clouds
119,Upernavik,72.7868,-56.1549,1.98,85,84,7.67,GL,2021-02-11 23:01:29,broken clouds
120,Chumikan,54.7183,135.315,9.99,96,100,9.53,RU,2021-02-11 23:01:29,overcast clouds
121,Iqaluit,63.7506,-68.5145,-2.0,71,75,14.97,CA,2021-02-11 23:00:17,snow
122,Santa Lucia,27.9117,-15.5407,64.4,77,75,13.8,ES,2021-02-11 23:01:30,broken clouds
123,Baijiantan,45.6333,85.1833,14.59,86,97,3.83,CN,2021-02-11 23:01:30,overcast clouds
124,Kupang,-10.1667,123.5833,79.9,80,59,2.66,ID,2021-02-11 23:01:30,broken clouds
125,Bengkulu,-3.8004,102.2655,76.14,85,100,4.76,ID,2021-02-11 23:01:30,overcast clouds
126,Atuona,-9.8,-139.0333,79.43,73,0,11.95,PF,2021-02-11 23:01:30,clear sky
127,Barrow,71.2906,-156.7887,-43.6,83,1,9.22,US,2021-02-11 23:00:32,clear sky
128,Peterhead,57.5058,-1.7981,34.0,100,90,19.57,GB,2021-02-11 23:01:31,overcast clouds
129,Chake Chake,-5.2459,39.7666,79.34,77,99,8.03,TZ,2021-02-11 23:01:31,overcast clouds
130,Kudahuvadhoo,2.6708,72.8944,80.35,79,42,17.2,MV,2021-02-11 23:01:31,scattered clouds
131,Rincon,32.296,-81.2354,64.99,88,40,8.05,US,2021-02-11 23:01:31,mist
132,Pandan,14.0453,124.1694,77.94,84,24,3.6,PH,2021-02-11 23:01:31,few clouds
133,Ponta Do Sol,32.6667,-17.1,57.99,68,70,3.0,PT,2021-02-11 23:01:32,broken clouds
134,Porto Novo,6.4965,2.6036,86.0,84,40,12.66,BJ,2021-02-11 23:01:32,scattered clouds
135,Nong Phai,15.9903,101.0618,71.01,65,20,4.18,TH,2021-02-11 23:01:32,few clouds
136,Ixtapa,20.7,-105.2,73.4,68,75,10.36,MX,2021-02-11 23:01:32,broken clouds
